cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
7960	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7966	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7988	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
8043	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
8045	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
8094	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
8153	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
8178	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
8254	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
8315	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
10168	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
10181	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
10213	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
10285	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
11723	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
11834	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
11925	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
459	S115	1	no matches		no matches		no matches		no matches		no matches		no matches	
461	209	2		1.0		1.0		1.0		1.0		1.0		1.0
2641	209	2		1.0		1.0		1.0		1.0		1.0		1.0
464	S116	1	no matches		no matches		no matches		no matches		no matches		no matches	
465	S117	1	no matches		no matches		no matches		no matches		no matches		no matches	
469	S118	1	no matches		no matches		no matches		no matches		no matches		no matches	
471	855	2	no matches		no matches		no matches		no matches		no matches		no matches	
4842	855	2	no matches		no matches		no matches		no matches		no matches		no matches	
474	232	2		1.0		1.0		1.0		1.0		1.0		1.0
4313	232	2		1.0		1.0		1.0		1.0		1.0		1.0
476	57	20		0.9850000000000001		0.9850000000000001		0.9850000000000001		0.9850000000000001		0.9850000000000001		0.9850000000000001
643	57	20		0.9850000000000001		0.9850000000000001		0.9850000000000001		0.9850000000000001		0.9850000000000001		0.9850000000000001
2645	57	20		0.9850000000000001		0.9850000000000001		0.9850000000000001		0.9850000000000001		0.9850000000000001		0.9850000000000001
