CLUSTERID1	interaction	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation	shared_motifs	TopSharedMotifs
7559	cosine	7576	-1.989	7559.0	0.8746	7559.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5937	cosine	5950	-2.01	5937.0	0.9148	5937.0	3	 	['motif_93', 'motif_53', 'motif_14', 'motif_73']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7849	cosine	8150	-39.996	7849.0	0.858	7849.0	3	 	['motif_53', 'motif_104']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8228	cosine	8236	-2.016	8228.0	0.8169	8228.0	3	 	['motif_181', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5975	cosine	6007	-2.016	5975.0	0.9339	5975.0	3	 	['motif_83', 'motif_14', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5587	cosine	5937	-28.031	5587.0	0.8259	5587.0	3	 	['motif_83', 'motif_14', 'motif_104']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7941	cosine	7987	-8.946	7941.0	0.8809999999999999	7941.0	3	 	['motif_93']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7559	cosine	7560	0.0	7559.0	0.9334	7559.0	3	 	['motif_83', 'motif_12']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5638	cosine	5975	-28.026999999999997	5638.0	0.9053	5638.0	3	 	['motif_53', 'motif_14', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5745	cosine	7208	-178.202	5745.0	0.8327	5745.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5639	cosine	6007	-30.041	5639.0	0.9138	5639.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8006	cosine	8030	-2.0140000000000002	8006.0	0.8809999999999999	8006.0	3	 	[]	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7871	cosine	7889	-2.02	7871.0	0.9096	7871.0	3	 	['motif_53', 'motif_104', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5744	cosine	6007	-26.03	5744.0	0.8712	5744.0	3	 	['motif_53', 'motif_14']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5121	cosine	5536	-28.031	5121.0	0.9161	5121.0	3	 	['motif_83', 'motif_14', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7598	cosine	7925	-28.03	7598.0	0.9136	7598.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7453	cosine	7925	-40.066	7453.0	0.9009999999999999	7453.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5588	cosine	5923	-26.015	5588.0	0.8339	5588.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5484	cosine	5536	-2.011	5484.0	0.9412	5484.0	3	 	['motif_73', 'motif_14', 'motif_53', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
