,SMILES
111,C12=C3C4=N/C(=C/C5=N/C(=C\C6=N/C(=C\C(=N2)C(=C1C(=O)C3)C)/C(=C6C)CC(C)(C)C)/C(=C5C)[C@@H](O)C)/[C@H]([C@@H]4CCC(=O)OC)C
112,CCC/C=C\1/[C@@]23CC[C@@H]([C@H]4[C@@H]2C2=C(CC4)/C(=C/C4(CCCC4)CC)/OC2=O)C(=C3C(=O)O1)C1(CCCC1)c1cc[nH+]c(c1)N
113,CCc1/c/2=C/C=C\3/[OH+]/C(=c/4\c(c(/c(=C\C=C\5/[OH+]/C(=c(\c1CC)/o2)/C(=C5CC)CC)/o4)CC)CC)/C(=C3CC)CC
114,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(C)(C)C5CCC34C)C2C1)C(O)=O
115,C(=C\CCCCCCCCCCCCC)/C(=O)C
116,CCCNC(=O)O[C@@H]1CC[C@@]2([C@H]([C@]1(C)CO)CC[C@H]([C@H]2CC(=O)N1CC[C@@H](C1)NC(=O)C)O)C
117,CCCCCCCC(=O)O[C@@H]1C[C@@H]([C@@]2(C)C=C[C@H]([C@](C)([C@@H]2[C@@H]([C@@]23[C@H](/C=C\1/C)OC(=O)[C@]2(C)O3)OC(=O)C)O)OC(=O)C)O
118,[C@H]1([C@H](C(=O)O[C@@H]([C@@H](C(=O)O[C@H]1C)NC(=O)c1c(c(ccc1)NC=O)O)C)C[C@H](CCCC)C)OC(=O)c1ccccc1
119,CC12CCC3C(C1CCC2(CC=C)O)CCC4=CCCCC34
120,CN(C)[C@@H](Cc1ccccc1)C(=N[C@H]1[C@@H](c2ccccc2)Oc2ccc(cc2)/C=C\N=C([C@@H]2CCCN2C1=O)O)O
121,[C@]123[C@@H]([C@]([C@H]([C@@H]([C@H]2O)OC(=O)CCCCCCCCCCCCCCC)C)(C/C=C(\CO)/C=C)C)C[C@@H](C=C1[C@@H](O[C@@H]3OC(=O)C)OC(=O)C)O
122,CCCCC[C@@H](/C=C/[C@H]1CCC(=O)[C@@H]1CCCCCCC(=O)NCC[C@]1(CCOC(C1)(C)C)c1ccccc1)O
123,[C@@]12([C@@H]([C@@H]([C@H](C(=C1CC/C(=C/C(=O)O)/C)C)OC(=O)CC(C)C)OC(=O)C)C(CCC2)(C)C)C
124,[C@]123[C@@H]4[C@](C5=CCC[C@@H](N15)C[C@H]3[C@H](CC1=C2C[C@@H]2N1[C@@H](C(=O)CC)CCC2)CC)([C@H]([C@@H]([C@H]4CC)C)c1c2n3c(c1CC)CCC[C@@H]3CC2)CC
125,CCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2([C@@H](C=C(C[C@]3([C@H]2C=C(C)C3=O)O)CO)[C@@H]2[C@@](C)(CO)[C@]12OC(=O)C)O
126,[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCC(O)=N[C@@]([H])(CC1=CC=CC=C1)C(O)=O
127,c12c(C(=O)OCC(=O)O)cccc1[nH]c1c([nH]2)cccc1
128,C[C@H](C[C@H]([C@@H]1C(O1)(C)C)O)C1=C2CC[C@@H]3[C@@]4(C[C@@H](C(=O)C([C@@H]4[C@H](C[C@@]43[C@]2([C@H](C1=O)CCC4)C)[NH2+]C[C@H](C)O)(C)C)c1cccc(c1)O)C
129,C[C@@H]1[C@@H](CC[C@@H]([NH2+]1)CCCCCCCCCCCCC(=O)C)OC(=O)/C=C/c1ccc(cc1)O
130,[H][C@](COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC\C=C/CCCCCC
131,c1ccc(cc1)OCC(=O)N1CC[C@H]([C@H](C1)CC[NH+]1CCN(CC1)c1ccccn1)CC(=O)[O-]
132,C[C@@H]1CN([C@@H](C)CO)C(=O)c2c(c3ccccc3CO[C@H]1CN(C)Cc1cccnc1)c1ccccc1n2C
133,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC
134,[H]C(COC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC)(COP(O)(=O)OCCNC)OC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC
135,CCCCC[C@@H](/C=C/C(=C/[C@H](CCCCCCC(=O)[O-])C[NH2+]C)/Cc1cccc(c1)O)O
136,[C@@]12([C@]3([C@H]([C@@]4([C@@H](CC3)C([C@H](CC4)OC(=O)/C=C/c3cc(c(cc3)O)O)(C)C)C)CC[C@@H]1[C@H](CC2)[C@]1(O[C@H](CC1)C(O)(C)C)C)C)C
137,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)OC(=O)/C=C/c3ccc(cc3)O)(C)C)C)CC[C@@H]1[C@@H]1[C@@]([C@H](C2)O)(CC[C@H]1C(=C)C)C)C)C
138,[H][C@](COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC
139,CCC[C@@H]1[C@@]23CC[C@H]4[C@]([C@@H]2CC[C@@]1(O[C@H]3Cc1ccccc1)O)(CC[C@@]1([C@@]4(CC[C@@]2([C@H]1C[C@](CC2)(C)C(=O)[O-])C)C)C)C
140,[C@@]12([C@@]([C@@H](C3=CC(=O)OC3)[C@H](C2)O)(CC[C@H]2[C@@]3([C@@H](C[C@@H](O[C@@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)O)O)O)CC3)CC[C@@H]12)C)C)O
141,CC(C)CC[C@H]1Cc2c3c(cc(c2c2c1cc(cc2)O)OC)O[C@H]([C@@H](C3)O)c1cc(c(c(c1)OC1CCCCC1)O)OC
142,CCCCCCCCCCCCCCOC(=O)[C@@H]([C@H](c1ccccc1)O)NC(=O)Cc1ccccc1
143,C[C@@H]1CC[C@@H]2CC3=C([C@](C[C@]13[C@@]12C[N+](=CC[C@@H]1C[NH2+]CCO)C(=N)NC)([C@H]1CC[C@@H]2CCCC[C@@H]2O1)O)C(=O)[O-]
