CLUSTERID1	interaction	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	MEH	OtherScore	shared_motifs	TopSharedMotifs
2516	cosine	6583	6.0	0.8859	24.0	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2490	cosine	6583	6.0	0.8611	8.004	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
1126	cosine	9274	6.0	0.9588	0.002	0.0	0.0	None	['motif_131', 'motif_72', 'motif_13']
6489	cosine	6505	6.0	0.9151	2.015	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2444	cosine	6505	6.0	0.8744	-0.002	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
9029	cosine	10052	9.0	0.9828	44.012	0.0	0.0	['motif_93', 'motif_284', 'motif_226']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
10072	cosine	10114	9.0	0.9848	-44.023	0.0	0.0	['motif_226', 'motif_284', 'motif_93']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
5893	cosine	5915	9.0	0.9821	-132.076	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
10170	cosine	10258	9.0	0.983	-44.02	0.0	0.0	['motif_159', 'motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
5860	cosine	5871	9.0	0.9873	44.027	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
5915	cosine	9173	9.0	0.9789	-132.067	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
10041	cosine	11552	9.0	0.9821	-132.077	0.0	0.0	['motif_93', 'motif_284', 'motif_226']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
9029	cosine	10072	9.0	0.9816	-44.038000000000004	0.0	0.0	['motif_226', 'motif_284', 'motif_93']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
10185	cosine	11519	9.0	0.9756	44.026	0.0	0.0	['motif_226', 'motif_284', 'motif_93']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
