CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
6437	6470	14	0.962	-88.052
583	4785	14	0.91	-14.015
486	4728	14	0.9553	-14.015
3211	4784	14	0.946	-14.030
495	524	14	0.9483	-44.026
3615	4785	14	0.8947	-14.016
6471	7502	14	0.9284	-14.014
2657	2663	14	0.9404	-14.013
624	3211	14	0.9482	-14.019
3563	7570	14	0.9085	0.001
2675	6437	14	0.9543	-28.032
4742	7534	14	0.9433	0.004
535	4768	14	0.9445	-0.000
531	535	14	0.9229	-44.025
2663	4742	14	0.9315	-0.002
583	4854	14	0.9182	-28.032
569	592	14	0.9532	-14.015
495	4733	14	0.9458	-14.015
4728	6471	14	0.9469	14.015
592	624	14	0.9605	28.035
486	491	14	0.9524	-14.016
3507	4768	14	0.9257	28.029
485	3507	14	0.9514	0.002
556	2675	14	1.0	0.000
654	4733	14	0.9476	14.016
588	4785	14	0.9071	0.000
588	705	14	0.9041	-14.016
6437	6491	14	0.9597	14.016
6470	7669	14	0.9625	-88.049
495	7513	14	0.9484	-14.011
4785	6502	14	0.9225	0.000
6440	7502	14	0.9514	0.001
624	3610	14	0.9541	-14.020
661	6528	14	0.9116	-0.001
524	6458	14	0.947	-0.000
592	6437	14	0.958	88.052
4768	6508	14	0.9267	-14.015
7669	7697	14	0.9605	14.010
4742	6458	14	0.9367	14.015
583	3563	14	0.9192	-14.015
592	7669	14	0.9589	-88.048
500	7513	14	0.9733	0.003
624	1334	14	0.9483	-44.027
4784	7573	14	0.9606	0.015
7502	7570	14	0.9318	44.026
654	686	14	0.9524	-44.026
7513	7573	14	0.9615	-88.055
7573	7669	14	0.9704	-88.050
485	7503	14	0.958	0.006
569	4784	14	0.9517	-14.028
6440	6471	14	0.9371	14.016
524	2657	14	0.9599	0.000
524	3546	14	0.9575	0.001
531	7502	14	0.9401	-28.029
7669	7917	14	0.9411	-88.056
486	490	14	0.954	-44.026
3607	6470	14	0.9643	-0.002
3507	4729	14	0.9587	-0.002
654	7513	14	0.9552	14.020
686	3531	14	0.9378	14.021
3546	7697	14	0.943	-132.081
491	4728	14	0.9467	0.001
486	3487	14	0.972	-14.016
3610	4845	14	0.9485	14.016
665	7697	14	0.9447	-44.027
556	6437	14	0.9543	-28.032
686	6441	14	0.9369	14.017
3487	3553	14	0.9295	28.032
3504	3507	14	0.937	-14.013
686	6458	14	0.9336	28.031
490	495	14	0.9515	-44.027
2657	6458	14	0.9459	-0.000
2657	7534	14	0.9414	-14.011
569	4845	14	0.9507	14.016
495	4779	14	0.947	0.000
4728	7502	14	0.9348	0.001
3483	3553	14	0.9156	14.016
3531	6441	14	0.9425	-0.004
490	2657	14	0.9417	-88.052
588	4854	14	0.8817	-14.016
531	3487	14	0.9471	-28.031
665	3211	14	0.9544	44.027
705	4854	14	0.9029	-0.000
3487	7570	14	0.9246	44.028
583	3615	14	0.8961	0.001
490	524	14	0.9423	-88.052
3723	6528	14	0.9349	-0.004
491	6440	14	0.9544	0.001
3211	3607	14	0.9559	-14.014
3487	6440	14	0.951	0.000
3531	3607	14	0.9545	-44.028
491	7570	14	0.9311	44.028
3553	6440	14	0.9204	-28.032
569	3607	14	0.9556	-14.013
3211	7573	14	0.9552	-14.015
750	1309	16	1.0	0.001
750	3679	16	0.7443	-86.037
1309	3679	16	0.7443	-86.038
